2026-02-03 17:13:34,909 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,913 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,935 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:34,940 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:37,433 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:15:47,547 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:17:48,032 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:20:56,849 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:20:56,850 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:20:59,370 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:21:57,927 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:30:47,095 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Received signal 2, shutting down...
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:31:27,435 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:31:27,439 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:31:41,582 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 1 msgs, person 1 at (-126, 509), active=0, passive=1
2026-02-03 17:33:13,266 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:33:13,269 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:33:15,306 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 201 msgs, person 48 at (45, 192), active=0, passive=1
2026-02-03 17:33:17,309 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 163 msgs, person 48 at (45, 192), active=0, passive=1
2026-02-03 17:33:19,311 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 205 msgs, person 48 at (97, 196), active=0, passive=0
2026-02-03 17:33:21,315 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 207 msgs, person 48 at (118, 197), active=0, passive=0
2026-02-03 17:33:23,320 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 218 msgs, person 48 at (126, 195), active=0, passive=1
2026-02-03 17:33:25,326 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 169 msgs, person 48 at (268, 162), active=0, passive=0
2026-02-03 17:33:27,326 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 205 msgs, person 55 at (-126, 327), active=0, passive=1
2026-02-03 17:33:29,327 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 154 msgs, person 48 at (295, 159), active=0, passive=1
2026-02-03 17:33:31,330 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 165 msgs, person 48 at (295, 159), active=0, passive=2
2026-02-03 17:33:33,336 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 185 msgs, person 48 at (171, 259), active=0, passive=1
2026-02-03 17:33:35,340 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 205 msgs, person 48 at (-124, 259), active=1, passive=0
2026-02-03 17:33:37,343 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 116 msgs, person 60 at (400, 334), active=0, passive=1
2026-02-03 17:33:39,347 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 109 msgs, person 61 at (208, 504), active=0, passive=0
2026-02-03 17:33:41,348 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 247 msgs, person 61 at (387, 504), active=0, passive=1
2026-02-03 17:33:43,351 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 268 msgs, person 63 at (338, 286), active=0, passive=1
2026-02-03 17:33:45,418 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 235 msgs, person 64 at (217, 187), active=0, passive=0
2026-02-03 17:33:47,424 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 260 msgs, person 64 at (281, 160), active=0, passive=2
2026-02-03 17:33:49,425 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 272 msgs, person 64 at (310, 148), active=0, passive=1
2026-02-03 17:33:51,431 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 261 msgs, person 64 at (310, 148), active=1, passive=1
2026-02-03 17:33:53,433 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 226 msgs, person 64 at (274, 157), active=1, passive=1
2026-02-03 17:33:55,435 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 182 msgs, person 64 at (206, 173), active=0, passive=2
2026-02-03 17:33:57,438 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 175 msgs, person 64 at (139, 189), active=0, passive=0
